=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.06 23:19:33 =~=~=~=~=~=~=~=~=~=~=~=
53870,493,34.48
53885,496,34.16
53900,494,33.84
53915,490,33.84
53930,490,34.16
53945,487,35.13
53960,483,32.55
53975,486,34.80
53990,492,35.45
54005,489,33.84
54020,494,34.48
54035,497,35.13
54050,506,34.48
54065,519,34.48
54080,531,35.13
54095,550,34.48
54110,567,34.80
54125,571,33.19
54140,580,33.52
54155,579,34.80
54170,574,34.48
54185,558,35.13
54200,556,34.80
54215,543,33.84
54230,531,34.16
54245,514,34.80
54260,508,32.87
54275,499,33.19
54290,488,35.13
54305,487,34.80
54320,478,34.48
54335,483,34.80
54350,475,34.80
54365,485,33.19
54380,489,34.48
54395,493,33.19
54410,488,34.16
54425,502,34.48
54440,499,33.84
54455,491,35.13
54470,497,33.19
54485,495,34.80
54500,494,33.19
54515,483,32.55
54530,491,34.16
54545,486,34.48
54560,493,34.16
54575,497,34.16
54590,491,32.55
54606,490,34.80
54621,485,34.80
54636,484,34.80
54651,491,32.87
54666,502,33.52
54681,513,33.84
54697,531,34.48
54712,546,34.80
54727,566,34.80
54742,567,34.48
54757,581,34.48
54772,580,35.13
54788,576,34.48
54804,561,34.80
54819,555,33.19
54835,546,34.16
54850,533,33.19
54866,522,34.48
54882,503,34.80
54897,498,34.48
54912,494,34.80
54927,488,33.52
54943,477,33.84
54959,482,33.84
54975,485,34.16
54991,490,34.16
55007,483,33.84
55022,492,34.48
55038,496,34.48
55054,499,34.16
55069,499,33.19
55085,498,34.16
55100,501,34.16
55116,494,34.80
55132,495,34.16
55147,485,34.48
55163,489,34.48
55179,488,34.48
55195,486,33.19
55211,484,32.87
55226,487,34.16
55242,492,34.80
55258,490,34.80
55274,492,34.80
55290,500,34.48
55306,503,34.48
55322,522,34.16
55338,544,34.48
55354,560,32.87
55369,562,33.84
55385,578,32.87
55401,568,33.19
55417,569,33.19
55433,562,34.48
55449,542,33.52
55465,537,34.80
55480,525,32.55
55496,518,32.23
55512,508,34.16
55528,498,34.48
55544,489,33.52
55560,482,33.19
55575,475,34.48
55591,484,34.80
55606,486,34.16
55622,490,33.19
55638,490,34.48
55653,492,32.87
55669,498,34.80
55684,500,34.48
55700,499,34.48
55716,491,34.48
55731,496,34.48
55747,491,33.19
55762,492,32.87
55777,485,34.16
55792,499,34.48
55808,491,34.80
55824,493,34.48
55839,486,33.19
55855,485,34.80
55870,489,34.16
55885,487,33.52
55900,489,33.19
55915,489,32.87
55930,508,34.16
55945,519,33.19
55960,545,34.80
55976,560,34.48
55991,573,34.16
56006,579,34.48
56021,575,33.84
56036,570,33.84
56051,570,34.16
56066,558,33.19
56081,541,33.52
56096,537,34.48
56111,519,33.52
56126,516,34.80
56141,499,32.87
56157,486,33.19
56172,480,33.52
56187,487,34.80
56202,482,34.48
56217,473,34.48
56232,481,34.48
56247,487,34.80
56262,493,34.80
56277,496,34.80
56292,500,33.84
56307,499,34.80
56322,501,34.16
56337,494,32.55
56352,495,34.80
56367,493,33.19
56382,482,33.52
56397,490,33.19
56412,486,33.19
56427,484,33.52
56442,491,34.80
56457,490,32.87
56472,493,34.80
56487,484,34.80
56502,488,32.55
56517,491,34.16
56532,494,34.16
56547,497,34.80
56562,512,33.19
56577,528,34.80
56592,547,33.19
56607,568,34.16
56622,568,34.48
56637,581,34.48
56652,575,34.80
56667,577,34.80
56682,572,33.19
56697,560,33.19
56712,553,33.84
56727,539,33.52
56742,533,33.52
56757,520,33.52
56772,502,33.84
56787,500,34.16
56802,485,33.19
56817,476,34.48
56832,477,34.80
56847,477,34.16
56862,481,34.48
56877,487,34.16
56892,490,33.19
56907,492,34.48
56922,496,34.48
56937,492,34.80
56952,493,32.87
56967,498,34.48
56982,495,34.48
56997,484,33.19
57012,491,32.87
57027,492,34.16
57042,494,34.48
57057,492,34.48
57072,484,33.84
57087,486,33.19
57102,487,34.80
57117,486,33.19
57132,488,34.48
57147,489,33.19
57162,491,34.48
57177,494,34.48
57192,500,32.87
57207,511,35.13
57222,520,33.19
57237,537,34.80
57252,556,33.19
57267,577,34.48
57282,575,35.13
57297,579,34.16
57313,580,34.80
57328,575,34.80
57343,566,33.52
57358,560,34.80
57374,547,34.48
57389,531,33.84
57404,517,34.48
57419,501,33.84
57434,500,34.16
57449,485,34.48
57465,474,34.80
57481,474,33.52
57496,474,33.19
57512,486,33.19
57528,488,34.16
57543,483,33.84
57559,487,34.80
57574,499,34.16
57590,499,34.48
57606,495,32.87
57621,497,34.80
57637,491,33.19
57652,494,34.16
57668,494,33.19
57684,489,34.80
57700,486,34.48
57716,491,34.80
57732,487,34.16
57747,489,34.48
57763,486,34.48
57779,487,32.55
57794,488,34.48
57810,492,34.80
57826,495,34.80
57841,497,34.80
57857,505,34.16
57873,518,34.16
57889,528,34.48
57905,546,32.55
57920,564,32.87
57936,578,34.16
57952,586,34.80
57968,578,33.19
57984,574,34.48
58000,565,34.16
58015,546,34.80
58031,537,34.80
58047,530,33.19
58062,518,34.48
58077,503,34.80
58092,496,34.48
58108,496,34.48
58124,483,34.48
58140,479,32.87
58156,485,34.16
58171,478,34.80
58187,491,32.87
58203,486,34.80
58218,493,33.19
58234,498,34.16
58249,496,34.48
58265,494,34.16
58281,487,34.48
58296,500,34.48
58311,494,33.52
58326,494,34.48
58342,488,33.52
58357,493,33.52
58372,491,34.48
58387,491,32.87
58402,489,33.19
58417,487,33.84
58433,491,34.48
58448,489,34.80
58463,486,34.16
58478,491,34.80
58493,500,33.19
58508,513,34.80
58523,527,34.48
58538,534,33.84
58553,559,33.52
58568,569,34.80
58583,583,34.48
58598,581,34.80
58613,574,33.84
58628,575,34.16
58644,559,34.80
58659,554,34.80
58674,544,34.48
58689,529,33.19
58704,511,33.84
58719,505,33.19
58734,498,34.48
58749,488,34.16
58765,480,34.48
58780,481,34.16
58795,481,34.48
58810,478,34.16
58825,483,32.55
58840,485,34.16
58855,498,35.13
58870,501,34.80
58885,501,32.87
58900,504,34.48
58915,498,34.48
58930,498,33.19
58945,497,34.80
58960,497,33.84
58975,494,34.80
58990,492,33.52
59005,492,33.52
59020,489,34.80
59035,488,34.48
59050,485,32.87
59065,487,34.80
59080,488,34.48
59095,486,33.19
59110,492,34.80
59125,497,34.48
59140,496,35.77
59155,505,33.19
59170,519,34.48
59185,540,34.48
59200,558,35.13
59215,570,34.80
59230,582,33.84
59245,578,33.84
59260,584,32.87
59275,579,33.19
59290,574,34.48
59305,560,32.87
59320,553,34.48
59335,539,34.80
59350,528,33.52
59365,517,34.80
59380,505,34.48
59395,492,33.52
59410,490,33.19
59425,490,33.52
59440,483,33.52
59455,489,34.48
59470,495,35.13
59485,484,34.80
59500,493,33.19
59515,496,34.48
59530,490,34.80
59545,502,34.16
59560,495,33.52
59575,500,34.80
59590,502,34.48
59605,501,38.35
59620,493,34.48
59635,488,33.84
59650,495,35.13
59665,489,33.52
59680,489,34.48
59695,480,33.52
59710,484,34.80
59725,488,33.19
59740,484,34.80
59755,489,34.80
59770,492,33.19
59785,494,34.16
59800,501,35.45
59815,510,32.87
59830,526,32.55
59845,547,34.48
59860,555,34.80
59875,574,34.48
59890,575,34.48
59905,586,34.80
59920,580,34.80
59935,565,33.19
59950,561,32.87
59965,547,34.80
59981,527,34.80
59996,528,33.52
60011,519,34.48
60026,507,33.52
60041,502,33.84
60056,489,34.48
60072,480,32.55
60087,483,34.48
60102,484,34.80
60117,485,34.48
60132,483,34.48
60147,486,34.48
60162,493,34.16
60177,498,34.80
60193,494,33.19
60209,500,32.87
60224,504,34.48
60240,502,33.52
60255,500,34.48
60271,493,33.84
60286,495,34.16
60301,493,34.48
60316,483,34.48
60331,489,33.84
60347,491,34.80
60363,489,33.19
60378,490,34.80
60393,485,34.80
60409,494,33.52
60425,491,35.13
60441,499,35.13
60456,511,34.48
60471,519,34.80
60487,534,33.52
60503,560,33.52
60519,571,34.80
60535,578,34.48
60551,576,34.48
60566,572,32.55
60582,569,34.80
60597,558,34.16
60612,542,34.80
60628,546,34.16
60644,528,34.48
60659,513,32.87
60674,512,34.48
60690,500,34.80
60705,491,34.16
60721,488,34.48
60737,484,34.80
60752,487,33.19
60768,480,33.84
60783,492,34.48
60799,499,33.19
60815,500,34.80
60830,494,33.84
60846,497,32.87
60861,499,34.80
60877,500,34.16
60893,500,34.80
60908,499,34.48
60924,497,34.48
60939,494,34.48
60954,491,34.80
60970,485,34.16
60985,486,35.13
61000,490,34.48
61015,479,33.52
61030,488,34.48
61045,489,33.19
61060,492,34.48
61075,499,33.19
61090,505,34.80
61105,524,33.19
61120,540,34.80
61135,557,34.48
61150,566,35.13
61165,581,34.16
61180,584,34.48
61196,571,33.84
61212,573,34.48
61227,563,33.84
61242,560,34.48
61257,552,34.48
61272,529,34.48
61287,519,34.80
61302,515,33.19
61317,506,33.19
61332,499,35.13
61347,489,33.52
61362,486,34.80
61377,489,34.48
61392,489,33.19
61407,496,32.87
61422,497,34.16
61437,496,34.80
61452,495,35.13
61467,502,33.84
61482,502,34.48
61497,496,34.48
61512,493,34.48
61527,497,33.52
61542,499,33.52
61557,492,34.16
61572,495,33.19
61587,485,33.19
